星5の武器一覧
名称	評価	メインスキル
しんぴの水晶画像しんぴの水晶	10点	いやしの占術
ラーミアのムチ画像ラーミアのムチ	10点	不死鳥のほむら
グリザードの鋭牙画像グリザードの鋭牙	10点	グレイシャル・ハウル
エスタークの魔刃画像エスタークの魔刃	10点	天上天下断獄斬
如意棒画像如意棒	10点	かめはめ波
ケキちゃん画像ケキちゃん	10点	風斬りのロンド
八竜神の剣画像八竜神の剣	10点	ドラゴンソウル∞
神鳥の翼斧画像神鳥の翼斧	10点	ホーリーラッシュ
竜神王の杖画像竜神王の杖	10点	竜神王のしゃくねつ
ブルフィオーレ画像ブルフィオーレ	10点	プチマダンテ
神喰らいの大剣画像神喰らいの大剣	10点	天裂く凶刃
白き英雄の旗槍画像白き英雄の旗槍	10点	グロリアスフラッグ
ぷにぷに肉球ロッド画像ぷにぷに肉球ロッド	9.8点	チアフルヒール
妖精の円月輪画像妖精の円月輪	9.8点	戒風のボレロ
闇はらう光の大剣画像闇はらう光の大剣	9.8点	ギガブレード
やみのころもの黒炎画像やみのころもの黒炎	9.8点	マヒャデドス
メタルキングの大剣画像メタルキングの大剣	9.8点	グランドネビュラ
あまぐもの杖画像あまぐもの杖	9.8点	ざざん波
ラプラスの杖画像ラプラスの杖	9.8点	メドローア・イルマ
セイクリッドスタッフ画像セイクリッドスタッフ	9.8点	いやしの聖陣
ピッコロ大魔王の玉座画像ピッコロ大魔王の玉座	9.8点	爆力魔波
大太刀・朝神楽画像大太刀・朝神楽	9.8点	以心伝刃
賢者リーザスのつえ画像賢者リーザスのつえ	9.8点	ダブルキャスト
たいようのおうぎ画像たいようのおうぎ	9.8点	ヒーリングビート
オリハルコンの短剣画像オリハルコンの短剣	9.8点	オリハルコンの流光
女神セレシアのつえ画像女神セレシアのつえ	9.8点	女神の奇跡
肉球印の大しゃもじ画像肉球印の大しゃもじ	9.8点	まごころ・フルバースト
星海の天球儀画像星海の天球儀	9.8点	フェイタル・ステラー
